,pitcher,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,release_spin_rate,release_extension,spin_axis,swinging_strike,name,throw_hand,height,weight,age_on_july_1
10,453178,93.17564102564103,-1.4112962962962963,5.386096866096866,-0.8377207977207978,1.4262535612535612,2435.8475783475783,6.6200854700854705,213.56980056980058,0.08404558404558404,IanPatrickKennedy,R,72,210,37.530458590006845
11,453268,98.00973282442747,-1.9054007633587786,5.776259541984733,-1.1750763358778626,0.5975190839694657,2513.4627151051627,5.980152671755725,220.35181644359466,0.07251908396946564,DanielPaulBard,R,76,215,37.01574264202601
12,453286,93.18318965517241,-3.238939655172414,5.616836206896552,-0.7575862068965517,1.2388103448275862,2386.3948275862067,6.159464131374244,221.18189655172415,0.11551724137931034,MaxwellM.Scherzer,R,75,208,37.927446954141
13,453343,90.92658662092624,-2.519485420240137,6.339228130360206,0.04730703259005146,0.8158147512864494,2268.9326424870465,6.326586620926244,189.39896373056996,0.07547169811320754,MarkDavidMelancon,R,73,215,37.25941136208077
14,455119,93.81340941512126,-2.8955634807417976,6.121754636233952,-0.3802567760342368,0.9090299572039943,2159.9358059914407,6.481999999999999,206.3166904422254,0.1369472182596291,ChristopherRileyMartin,R,80,225,36.07939767282683
15,456034,91.13516483516483,2.4379999999999997,5.940901098901099,0.7966593406593407,0.8652967032967033,1903.8593406593407,6.001978021978022,136.61098901098902,0.08131868131868132,DavidTaylorPrice,L,77,215,36.84599589322382
16,456501,90.00034578146611,-2.581203319502075,5.610560165975103,-0.9255670816044259,0.9405809128630704,2156.8469529085874,5.614246196403872,223.9847645429363,0.07123098201936376,JohnnyCueto,R,71,229,36.37234770704997
17,456713,96.15703564727954,-0.9775046904315197,5.496116322701688,-0.37904315196998123,1.3873545966228893,2547.3996247654786,6.234146341463415,198.42401500938087,0.10318949343339587,MatthewBrianBush,R,69,180,36.39151266255989
18,458681,91.54765771392879,-3.2549718925671454,5.533341661461586,-0.26623985009369144,0.8323922548407245,2471.211646837821,6.330793254216115,202.3988728866625,0.13429106808244848,MichaelLanceLynn,R,77,270,35.13757700205339
19,459429,94.332995951417,1.9132793522267206,5.743906882591093,0.9774089068825911,1.2543724696356275,2080.862068965517,6.080971659919029,135.3265720081136,0.08502024291497975,JacobDanielMcGee,L,76,229,35.90143737166324
20,468504,92.81390532544378,-1.0466863905325443,6.108076923076924,-0.8330177514792899,0.8448520710059172,2316.7781065088757,5.928402366863905,208.53550295857988,0.04142011834319527,JhoulysJoseChacín,R,75,215,34.48049281314169
21,471911,92.86540880503145,-1.3072327044025158,5.740601976639712,-0.8083288409703504,1.037843665768194,2252.050314465409,6.310601976639712,222.8490566037736,0.08265947888589398,CarlosLuisCarrasco,R,76,224,35.279945242984255
22,472610,98.65153846153846,-2.5677307692307694,6.123423076923077,-1.2098846153846154,0.8247115384615386,2144.845857418112,6.5909615384615385,215.55105973025047,0.07884615384615384,LuisAmadoGarcía,R,74,240,35.41683778234086
23,475479,91.92182596291012,-2.4001997146932954,6.134379457917261,-0.5256633380884451,1.3134236804564907,2358.7357142857145,5.3025677603423675,207.80142857142857,0.07275320970042796,DavidEdwardPhelps,R,74,200,35.72621492128679
24,476595,87.57777777777778,0.41939571150097466,6.188986354775828,-0.42962962962962964,0.522046783625731,2594.2007797270953,6.34307992202729,200.46393762183237,0.11500974658869395,LucasLesterLuetge,L,76,205,35.27173169062286
25,477132,90.72274618585298,1.4385298196948684,6.096532593619973,-0.036033287101248264,1.5472815533980582,2408.4174757281553,6.417614424410542,171.72399445214978,0.03744798890429958,ClaytonEdwardKershaw,L,76,225,34.28336755646817
26,488984,92.12569444444445,-1.6635416666666667,6.067361111111111,-0.391875,0.9232638888888888,2396.7743055555557,6.3225694444444445,202.81944444444446,0.08680555555555555,RaymondThomasHunter,R,75,250,35.99452429842574
27,489119,86.2066265060241,1.8637048192771084,6.310813253012048,-0.059518072289156634,0.8873493975903615,2270.29696969697,6.119578313253013,166.44242424242424,0.05120481927710843,WadeAllenMiley,L,74,220,35.630390143737166
28,489334,90.38129921259842,-2.486318897637795,5.660984251968505,-0.8040551181102362,0.8235826771653543,2240.583003952569,6.786220472440945,209.42490118577075,0.09055118110236221,CraigNicholasStammen,R,74,228,38.31074606433949
29,493603,93.66051080550098,-2.6006679764243614,5.506895874263262,-1.0149705304518664,0.6806286836935167,2307.416502946955,6.8495088408644405,213.2220039292731,0.068762278978389,AdamRobertOttavino,R,77,246,36.60506502395619
30,500779,91.22941600576785,2.2630136986301372,5.805897620764239,0.4612833453496755,1.2102883922134102,2074.719044170891,6.486733958183129,157.90296886314266,0.09012256669069935,JoséGuillermoQuintana,L,73,220,33.43189596167009
31,501381,89.88614318706696,-2.22621247113164,6.495034642032333,-0.4577136258660508,1.1722401847575057,1933.8680555555557,6.228868360277136,214.52314814814815,0.04387990762124711,MichaelFranciscoPineda,R,79,280,33.44832306639288
32,501625,90.83800000000001,2.0158,5.814133333333333,1.323,0.8312666666666666,2035.241610738255,6.408,134.68456375838926,0.02,JoseRicardoAlvarez,L,71,195,33.152635181382614
33,501925,84.62534246575342,-2.5282191780821917,3.048082191780822,-1.3086643835616438,-0.2582876712328767,1958.5753424657535,6.517808219178082,279.4417808219178,0.07534246575342465,JosephMichaelSmith,R,74,211,38.275154004106774
34,501985,90.33299270072993,0.9595036496350365,5.92207299270073,0.3287007299270073,1.1814744525547445,2471.9663250366034,5.58014598540146,146.9385065885798,0.05547445255474453,MichaelDavidMinor,L,76,210,34.51334702258727
35,502042,93.0459807073955,-1.250369774919614,6.211848874598071,-0.5305787781350482,1.547218649517685,2174.935691318328,6.289871382636656,205.9951768488746,0.03858520900321544,ChristopherAlanArcher,R,74,195,33.76043805612594
36,502043,90.92858851674642,-2.253223684210526,6.291375598086125,-0.624982057416268,0.8055801435406699,2240.696172248804,6.7334928229665065,210.95753588516746,0.07775119617224881,KyleBenjaminGibson,R,78,215,34.68856947296372
37,502085,93.03146067415732,-2.510205992509363,5.796123595505618,0.05539325842696629,1.4279962546816478,2610.816135084428,6.73876404494382,194.55722326454034,0.06554307116104868,DavidAlanRobertson,R,71,195,37.22655715263518
38,502171,94.8038775510204,-1.889469387755102,5.764102040816327,-1.3145714285714285,0.7555306122448979,2091.7308085977484,5.89061224489796,223.46571136131013,0.04285714285714286,AlexanderMillerCobb,R,75,205,34.732375085557834
39,502179,88.52144495412844,-1.5295642201834863,5.807247706422018,-0.23987385321100915,1.588669724770642,2228.6077981651374,6.536238532110092,195.79243119266056,0.040137614678899085,PaoloAlesandroEspino,R,70,211,35.4715947980835
40,502202,92.69471624266144,-1.4151076320939335,5.804227005870842,-0.5066340508806262,1.4552837573385518,2380.821917808219,5.6111545988258325,202.40313111545987,0.09197651663405088,BradleyGeorgeBoxberger,R,70,211,34.09445585215606
41,502624,91.5091575091575,-1.2535164835164834,5.971025641025641,-0.44490842490842486,1.3723076923076922,2216.578754578755,5.9443223443223445,201.28571428571428,0.08424908424908426,RobertChaseAnderson,R,73,210,34.5845311430527
42,503285,85.94055555555555,-2.6887777777777777,3.6881666666666666,-0.9938888888888889,0.6484444444444445,2349.688888888889,6.707222222222222,255.1888888888889,0.1388888888888889,DarrenChristopherO'Day,R,76,220,39.690622861054074
43,503449,95.44896142433234,-1.0286943620178042,6.489614243323442,-0.7734421364985162,1.2843026706231455,1913.0682492581602,5.792581602373887,206.99109792284867,0.05341246290801187,WilyPeralta,R,73,255,33.14715947980835
44,506433,90.73855421686747,-2.2122991967871486,5.46741967871486,-0.15609939759036143,0.6963504016064258,2566.652610441767,6.6148594377510035,161.6234939759036,0.09989959839357429,YuDarvish,R,77,220,35.87405886379192
45,517008,91.35449871465296,-1.4067223650385605,6.275796915167095,0.0940616966580977,0.6771336760925449,2148.827763496144,6.166195372750643,189.61825192802056,0.07712082262210797,AlexanderManuelColomé,R,73,225,33.497604380561256
46,518397,92.16291390728477,1.8378145695364239,5.749801324503311,1.1460264900662251,0.3636423841059603,2174.82119205298,6.124503311258278,133.01986754966887,0.07947019867549669,ScottAlainAlexander,L,74,195,32.97467488021903
47,518489,95.88867924528302,-1.5252830188679245,5.680132075471698,-0.7365094339622642,1.2865471698113207,2258.6169811320756,6.686792452830189,213.06981132075472,0.1018867924528302,RyanDavidBrasier,R,72,227,34.847364818617386
48,518516,89.22357028327097,2.7735809727418492,5.618818813468733,0.19619454836985567,0.9649866381614111,2249.9058823529413,6.59470871191876,156.74491978609626,0.07215392838054516,MadisonKyleBumgarner,L,76,257,32.91444216290212
49,518553,89.56553672316385,-3.3647740112994353,4.290946327683615,-1.25409604519774,0.6556355932203389,2330.502824858757,7.65819209039548,243.45621468926555,0.08898305084745763,StevenR.Cishek,R,78,220,36.035592060232716
50,518617,95.4429197080292,3.421766423357664,5.513416058394161,1.37407299270073,0.9230364963503649,2248.9328467153287,6.372700729927008,122.07153284671533,0.11678832116788321,JacobTannerDiekman,L,76,195,35.441478439425055
51,518748,92.62212389380531,-1.7639823008849558,6.142743362831858,-0.47079646017699117,1.5572566371681416,2113.3008849557523,6.886725663716814,204.69026548672565,0.05309734513274336,JustinScottGrimm,R,75,210,33.87268993839836
52,518876,92.13906976744187,-1.7056330749354005,5.491286821705426,-0.6963772609819121,1.055235142118863,2313.267977237455,6.156049638055842,219.37454733574754,0.08320413436692506,KennethMerrillKelly,R,74,202,33.711156741957566
53,518886,95.77208672086721,-2.9042547425474257,4.714214092140922,-0.8705962059620597,1.2074525745257454,2263.9281842818427,6.713821138211382,224.37533875338752,0.0948509485094851,CraigMichaelKimbrel,R,72,215,34.091718001368925
54,519008,88.79437086092716,1.9843377483443707,5.686788079470199,1.431158940397351,0.037880794701986756,1939.221476510067,5.53476821192053,110.76510067114094,0.046357615894039736,TimothyJohnMcFarland,L,75,200,33.06228610540725
55,519043,93.82704761904762,1.5392000000000001,6.334723809523809,0.7664190476190477,1.5059428571428572,2384.4,6.103809523809524,143.1561904761905,0.12571428571428572,MatthewCodyMoore,L,75,210,33.034907597535934
56,519151,94.46853448275863,-0.2677155172413793,6.021077586206897,-0.27077586206896553,1.5030172413793104,2512.155172413793,6.299568965517241,202.48275862068965,0.0603448275862069,ThomasRyanPressly,R,74,206,33.541409993155376
57,519293,92.0922480620155,1.349612403100775,6.628010335917312,0.7254263565891473,1.4171576227390181,2180.0956072351423,6.220413436692507,142.84237726098192,0.05167958656330749,WilliamMichaelSmith,L,77,255,32.97467488021903
58,519326,94.91968,-3.0127040000000003,5.828768,-0.501696,1.087136,2337.373786407767,5.998705501618122,217.27831715210357,0.0832,HunterDrewStrickland,R,75,225,33.765913757700204
59,521230,97.56080139372823,-1.6006794425087107,5.9106097560975615,-0.49782229965156793,1.55993031358885,2398.029616724739,7.037108013937282,202.96689895470382,0.1254355400696864,LiamJohnsonHendriks,R,72,235,33.385352498288846
60,523260,97.8654411764706,-1.6427573529411763,5.3889338235294115,-1.2504779411764706,0.8538602941176471,2178.667896678967,5.995588235294117,228.16974169741698,0.08455882352941177,JosephWilliamKelly,R,73,174,34.05886379192334
61,527048,91.6432241813602,1.0482367758186397,5.591556675062972,0.8531234256926953,0.9498186397984887,2082.178102926337,5.919899244332494,139.35671039354187,0.048866498740554154,MartínPérez,L,72,200,31.241615331964407
62,528748,90.17120253164556,-2.2674367088607594,4.940379746835443,-1.1549050632911393,0.3947784810126582,2055.8607594936707,6.082278481012659,233.9367088607595,0.0759493670886076,HumbertoCastellanos,R,71,222,24.243668720054757
63,541640,91.1409900990099,-2.2108217821782175,5.261445544554456,-0.5304257425742575,0.7003168316831684,2297.7978196233894,6.411793855302279,205.14568880079287,0.100990099009901,ErasmoJoseRamirez,R,72,217,32.16427104722793
64,542585,95.34014336917564,-1.6336917562724014,5.282401433691756,-1.1276344086021506,1.0621505376344085,2355.5663082437277,6.15089605734767,226.44086021505376,0.1039426523297491,JoséLuisCisnero,R,75,258,33.22108145106092
65,542881,88.88115682766846,1.9823553965414429,5.9183303518187245,0.4350626118067979,1.1747286821705427,2293.612999403697,6.1131861575179,149.8676207513417,0.08050089445438283,TylerJohnAnderson,L,74,220,32.50102669404517
